mode,state,ratioD,ratioR,pollD,pollR,pollSigma,gbD,gbR
senate,AK,0.8901,1.0915,47.5,45.5,,53,47
senate,AL,0.7065,1.2758,,,,53,47
senate,AR,0.6971,1.2832,,,,53,47
senate,CO,1.1729,0.8348,,,,53,47
senate,DE,1.1839,0.8145,,,,53,47
senate,FL,0.8402,1.1431,37.5,47.5,,53,47
senate,GA,1.0223,0.9746,41,39,,53,47
senate,IA,0.8757,1.1229,42,45,,53,47
senate,ID,0.6339,1.3495,16,41,,53,47
senate,IL,1.1201,0.8808,,,,53,47
senate,KS,0.8970,1.1057,,,,53,47
senate,KY,0.7052,1.2697,,,,53,47
senate,LA,0.7922,1.1845,,,,53,47
senate,MA,1.2744,0.7194,,,,53,47
senate,ME,1.1288,0.9105,43,41,,53,47
senate,MI,0.9989,0.9968,42,42,,53,47
senate,MN,1.0853,0.9273,,,,53,47
senate,MS,0.7698,1.2148,,,,53,47
senate,MT,0.7992,1.1639,,,,53,47
senate,NC,0.9868,1.0058,46.5,40,,53,47
senate,NE,0.8435,1.1573,46,46,,53,47
senate,NH,1.0715,0.9454,45,42,,53,47
senate,NJ,1.0497,0.9260,,,,53,47
senate,NM,1.0933,0.9284,,,,53,47
senate,OH,0.9058,1.1085,47.5,47,,53,47
senate,OK,0.6824,1.2748,,,,53,47
senate,OR,1.1845,0.8213,,,,53,47
senate,RI,1.1505,0.8378,,,,53,47
senate,SC,0.8328,1.1638,36,42,,53,47
senate,SD,0.7142,1.2636,28,44,,53,47
senate,TN,0.7150,1.2746,,,,53,47
senate,TX,0.8788,1.1232,41,41,,53,47
senate,VA,1.0805,0.9138,,,,53,47
senate,WV,0.5896,1.3696,,,,53,47
senate,WY,0.5657,1.4364,,,,53,47
governor,AK,0.8901,1.0915,51,49,,53,47
governor,AL,0.7065,1.2758,34,53,,53,47
governor,AR,0.6971,1.2832,,,,53,47
governor,AZ,0.9774,1.0435,41.5,40,,53,47
governor,CA,1.1841,0.7991,,,,53,47
governor,CO,1.1729,0.8348,,,,53,47
governor,CT,1.1743,0.8338,,,,53,47
governor,FL,0.8402,1.1431,34,40,,53,47
governor,GA,1.0223,0.9746,,,,53,47
governor,HI,1.2443,0.8416,,,,53,47
governor,IA,0.8757,1.1229,45,43,,53,47
governor,ID,0.6339,1.3495,,,,53,47
governor,IL,1.1201,0.8808,54,34,,53,47
governor,KS,0.897,1.1057,,,,53,47
governor,MA,1.2744,0.7194,48,29,,53,47
governor,MD,1.3073,0.6643,,,,53,47
governor,ME,1.1288,0.9105,,,,53,47
governor,MI,0.9989,0.9968,34,37,,53,47
governor,MN,1.0853,0.9273,48,38,,53,47
governor,NE,0.8435,1.1573,,,,53,47
governor,NH,1.0715,0.9454,,,,53,47
governor,NM,1.0933,0.9284,,,,53,47
governor,NV,0.9784,1.0213,39,40.5,,53,47
governor,NY,1.1562,0.9677,50,25,,53,47
governor,OH,0.9058,1.1085,46,45,,53,47
governor,OK,0.6824,1.2748,,,,53,47
governor,OR,1.1845,0.8213,,,,53,47
governor,PA,1.0067,1.0015,55,38,,53,47
governor,RI,1.1505,0.8378,,,,53,47
governor,SC,0.8328,1.1638,,,,53,47
governor,SD,0.7142,1.2636,,,,53,47
governor,TN,0.715,1.2746,28,49,,53,47
governor,TX,0.8788,1.1232,,,,53,47
governor,VT,1.3798,0.6521,,,,53,47
governor,WI,1.0097,0.9958,50,44,,53,47
governor,WY,0.5657,1.4364,,,,53,47
